2.4002,-2.3099,9.1934
2.3824,-2.2706,9.2196
2.3859,-2.3003,9.2506
2.499,-2.3432,9.1851
2.4942,-2.2718,9.153
2.4312,-2.2408,9.1839
2.499,-2.3384,9.2184
2.5085,-2.348,9.1446
2.4002,-2.2647,9.1184
2.3835,-2.3099,9.0268
2.3419,-2.173,8.9137
2.3574,-2.2016,8.8804
2.443,-2.2551,8.7923
2.4704,-2.1885,8.8554
2.5061,-2.2587,8.7066
2.449,-2.2087,8.5615
2.4038,-2.2159,8.3782
2.4312,-2.1968,8.1639
2.3014,-1.9016,8.014
2.424,-1.7386,8.0425
2.7323,-1.8124,7.9414
2.8441,-1.7945,7.9021
3.3821,-1.9802,8.4936
3.7868,-1.9016,8.3686
3.851,-1.7493,8.396
3.8915,-1.7791,8.3627
4.0438,-1.81,8.3198
4.2748,-1.7874,8.4508
4.6306,-1.8885,8.327
4.7163,-1.7279,8.1556
4.7377,-1.422,7.9366
4.852,-1.4482,7.9414
5.0543,-1.6279,7.3879
5.0698,-1.591,7.326
5.7018,-1.6731,7.5462
5.9803,-1.6017,6.9547
6.0231,-0.91855,6.9285
6.1088,-0.81857,6.7488
6.2981,-1.1078,6.1739
6.5706,-1.3351,6.1585
7.518,-1.441,6.3632
8.0322,-0.74121,6.212
8.1238,-0.20563,5.8788
8.3642,-0.2699,6.0228
8.832,-0.5484,6.243
9.1295,-0.52222,6.0216
9.3473,-0.1973,5.9371
9.4235,-0.09137,5.7978
9.552,-0.17944,5.5765
9.7091,-0.090179,5.3456
9.6294,-0.060425,5.0659
9.4937,-0.20325,4.8707
9.4973,-0.16635,4.5969
9.7686,0.15738,4.1304
9.5663,0.40137,3.9852
9.2807,0.6525,3.9614
9.0569,1.4749,3.5448
9.2366,2.3545,2.7974
9.5378,1.4535,2.3523
10.019,-0.59006,1.7345
10.445,-1.2875,1.174
10.296,0.29544,0.85142
10.129,1.4178,1.537
9.896,1.0679,1.6893
9.6294,0.62393,1.0966
9.9507,0.85959,1.1859
9.8293,0.65131,1.3465
9.5866,0.88577,0.95973
9.6615,1.4345,0.83714
9.9317,1.701,0.70979
9.696,1.3404,0.62529
9.5544,1.2464,0.59672
9.6841,1.4844,0.36821
9.533,1.8141,0.30275
9.3568,1.9165,0.32179
9.4901,1.6761,0.65028
9.7567,1.2143,0.40035
9.5139,1.3761,-0.16975
9.2342,1.7736,-0.47087
9.3925,1.5392,-0.70772
9.7865,1.4987,-1.1636
9.5449,2.4402,-1.0898
9.2545,2.5473,-0.85887
9.2938,1.7487,-0.83983
9.608,2.408,-0.9648
9.1985,2.2438,-1.1243
9.1509,2.1212,-1.1207
9.4413,1.8522,-0.7458
9.5842,1.9439,-0.63512
9.3497,2.1605,-0.76485
9.4818,2.12,-0.64821
9.7948,2.1831,-0.53514
9.7615,2.0974,-0.14952
9.8793,1.4225,0.51103
9.6044,1.5975,0.50746
9.746,1.6951,0.32417
10.401,1.0238,0.33608
10.163,0.78818,0.51817
9.7758,1.0619,0.093277
9.0783,2.0069,-0.50777
8.895,3.2269,0.33369
9.0748,3.5232,1.3501
9.3866,2.5818,1.8893
9.8746,1.6618,2.0535
10.291,1.2869,1.9083
10.486,1.6689,1.7298
10.685,2.0557,2.2523
10.747,1.5285,2.5141
10.786,0.99408,2.5058
10.526,1.1774,2.7724
10.223,1.2178,3.0997
10.215,0.67392,3.1782
9.94,0.55014,3.2699
9.583,1.2035,3.9352
9.3033,0.96195,4.5184
9.1652,0.17404,4.1947
9.02,-0.03305,4.2994
9.1867,0.64536,5.2551
9.1759,0.75485,5.7121
8.8201,0.16333,5.4955
8.7201,-0.37582,5.7824
8.8344,-0.50794,6.1442
8.6761,-0.066376,6.7214
8.4666,0.015747,7.1035
8.0691,-0.32465,6.8083
7.4894,-0.29132,7.0463
7.6156,-0.2937,7.7283
7.1836,-0.50198,7.163
6.1267,-0.60196,7.0999
5.9767,-0.89712,7.4427
5.8208,-0.96497,7.2951
5.3138,-0.88522,7.4367
5.14,-1.078,7.5331
4.7842,-1.3708,7.3415
4.7306,-1.4922,7.7819
4.4521,-1.2125,7.307
3.2429,-1.0459,7.069
2.9179,-1.4875,7.7426
3.6071,-1.9981,7.7009
2.8156,-1.7683,7.3236
2.0515,-1.1947,8.0056
2.4121,-1.6148,8.3175
2.1895,-1.9183,7.8069
1.3576,-1.785,7.7188
1.1815,-1.5291,8.2425
1.2731,-1.5815,8.6293
1.0934,-1.6719,8.4127
0.73633,-1.5517,8.1235
0.59827,-1.6517,8.4067
0.83035,-1.6779,8.8876
0.922,-1.8707,8.8197
